"ch1","ch2","ch3","ch4","ch5","ch6","ch7","ch8","ch9"
-0.8,-1,9.5,-0.1,-0.2,-0.1,-15.9,-0.4,-19.4
-0.8,-1,9.5,-0.1,0,-0.1,-15.9,-0.4,-19.4
-0.8,-1.1,9.5,0,0.2,-0.1,-16.2,0.7,-20.9
-0.8,-1,9.5,-0.1,-0.1,-0.1,-16.2,0.7,-20.9
-0.8,-1.1,9.5,0,0.1,0,-15.6,0.2,-20.6
-0.8,-1.1,9.5,-0.2,-0.1,0.1,-15.6,0.2,-20.6
-0.8,-1.1,9.5,-0.1,0.1,0,-15.2,0,-20.1
-0.8,-1.1,9.5,0.2,0.2,0.1,-15.2,0,-20.1
-0.8,-1,9.6,0.2,0.2,0,-15.6,0.2,-20.6
-0.8,-1.1,9.5,0,-0.2,0,-15.9,0,-20.6
-0.8,-1,9.5,0,0.2,-0.1,-15.9,0,-20.6
-0.8,-1.1,9.5,0.1,0.1,-0.1,-15.2,0.2,-20.9
-0.8,-1,9.5,0,0,-0.1,-15.2,0.2,-20.9
-0.8,-1.1,9.5,-0.1,-0.1,0.1,-15.6,0,-19.8
-0.8,-1.1,9.5,0.1,0,0.1,-15.6,0,-19.8
-0.8,-1.1,9.5,0,0.1,0,-15.6,0,-19.8
-0.8,-1.1,9.5,0,-0.1,0,-15.6,0.2,-20.1
-0.8,-1.1,9.5,0,-0.2,0.1,-15.6,0.2,-20.1
-0.8,-1,9.5,-0.1,0,0,-15.6,0.2,-19.4
-0.8,-1,9.5,0,0,0.1,-15.6,0.2,-19.4
-0.8,-1,9.5,0,0.2,0.1,-15.6,0.2,-20.1
